,Unnamed: 0,Title,Search,Location,Company,detail_url
2013,3344,Improvement Data Analyst,Data+analyst,"San Francisco, CA",        University of California San Francisco Medical Cen...,/rc/clk?jk=bce57f80b1b4bc5f&fccid=945ef85720cdacd0&vjs=3
2014,3348,Associate - Data Intelligence Analyst,Data+analyst,"San Francisco, CA",        Moody's Analytics,/rc/clk?jk=4fbb1c198c6887b7&fccid=28eefc5b86560831&vjs=3
2015,3349,Product Analyst - Consumer Data Science,Data+analyst,"San Francisco, CA 94103 (South Of Market area)",        Uber,/rc/clk?jk=ed941f25d0a1dbf0&fccid=f766f8bfbc3effb7&vjs=3
2016,3350,Data Analyst,Data+analyst,"San Francisco, CA",        Scaleapi,/rc/clk?jk=41dc7d95c7bf9196&fccid=55ebd28e88790c63&vjs=3
2017,3351,Data Analyst,Data+analyst,"San Francisco, CA",        LimeBike,/rc/clk?jk=19feb5137694e525&fccid=39575763eb890563&vjs=3
2018,3352,Payroll Analyst,Data+analyst,"San Francisco, CA 94104 (Financial District area)",        University of California San Francisco,/rc/clk?jk=864e504dd11b69a5&fccid=2a341562d64c7cdb&vjs=3
2019,3353,Data Analyst,Data+analyst,"San Francisco, CA",        ThirdLove,/rc/clk?jk=457f6c7bc7231304&fccid=695c46481d2992ff&vjs=3
2020,3354,Data Analyst,Data+analyst,"San Francisco, CA",        Figure,/rc/clk?jk=ff2c3fe7a7f94d35&fccid=bfe246c1b9fb02f3&vjs=3
2021,3355,"Customer Insights Analyst, Prime Now",Data+analyst,"San Francisco, CA",        Amazon.com,/rc/clk?jk=da785226c91fe60c&fccid=fe2d21eef233e94a&vjs=3
2022,3356,Reporting and Data Analyst,Data+analyst,"San Francisco, CA 94124 (Bayview area)",        Plethora,/rc/clk?jk=ed70cdc47e78e81b&fccid=e3713fe2e34b7dc4&vjs=3
2023,3357,Data Analyst,Data+analyst,"San Francisco, CA",        Doximity,/rc/clk?jk=7da7a8824c345d47&fccid=cc9f04eed69b86b2&vjs=3
2024,3364,Data Analyst - Cannabis Industry,Data+analyst,"San Francisco, CA",        Vangst,/company/Gradujuana/jobs/Data-Analyst-bf180499fb0468e2?fccid=6eaa4434f690ccba&vjs=3
2025,3365,Data Warehousing Business Analyst,Data+analyst,"San Francisco, CA 94105 (Financial District area)",        omega solutions inc,/rc/clk?jk=9fd24f39f6141fdd&fccid=9e399301940ed66e&vjs=3
2026,3366,Data Analyst (Freelance to Full Time),Data+analyst,"Sausalito, CA",        BSSP,/rc/clk?jk=41f05073f783b269&fccid=dd611dffe947ed09&vjs=3
2027,3367,Data Analyst - Developer Experience Team,Data+analyst,"San Francisco, CA",        Twitch,/rc/clk?jk=af2f61b0ae5ebf1b&fccid=e21f6affbb4bb0b2&vjs=3
2028,3368,Data QA Analyst,Data+analyst,"Redwood City, CA",        Poshmark,/rc/clk?jk=644962deaaf986b4&fccid=0f4f2d112db7d324&vjs=3
2029,3369,"Business Data Analyst, AEX",Data+analyst,"San Francisco, CA",        Autodesk,/rc/clk?jk=1b95f0c42a77425b&fccid=7136762d065a5ad7&vjs=3
2030,3370,Data Analyst,Data+analyst,"San Francisco, CA",        Glu Mobile,/rc/clk?jk=edd3d7213e654bb8&fccid=a5ea7db1292ddde6&vjs=3
2031,3371,Data Analyst,Data+analyst,"San Francisco, CA",        First Republic Bank,/rc/clk?jk=3d208df8bcb2be3f&fccid=e228a3c78d0f7f13&vjs=3
2032,3372,"Analyst, Data Scientist - Brighterion",Data+analyst,"San Francisco, CA 94105 (Financial District area)",        Brighterion,/rc/clk?jk=36bf5fa7da8a1b10&fccid=5da8ce8509b876cc&vjs=3
2033,3373,Business Analyst - Entry Level,Data+analyst,"San Francisco, CA",        Avenica,/rc/clk?jk=5493019623bfbf63&fccid=cb9766addf360eac&vjs=3
2034,3380,Sr Data Analyst,Data+analyst,"San Francisco, CA",        Infusionsoft,/rc/clk?jk=9ae79239b0cf20d3&fccid=99e6ef1afa7d0528&vjs=3
